seq,cum_dist,elev,gradient_pct,gradient_smooth,x,y
131,594.6,197.9733428955078,1.45,25.11,1570615.4663248183,5173205.806216296
132,599.6,191.94630432128906,-120.54,-13.83,1570617.7895372275,5173201.378724444
133,602.1,192.32205200195312,14.92,9.13,1570618.96,5173199.1481
134,604.4,193.08131408691406,32.13,-16.83,1570618.1624999996,5173196.9234
135,608.6,194.95130920410156,44.67,-51.65,1570614.1217,5173198.0163
136,613.6,193.34173583984375,-32.19,-21.23,1570611.5895186118,5173202.327686949
137,618.6,193.0768585205078,-5.3,-22.27,1570609.0573372238,5173206.639073897
138,621.5,194.94088745117188,65.47,-8.6,1570607.6155000003,5173209.094
139,626.5,182.4940185546875,-248.94,-14.7,1570603.9160130748,5173212.45759874
140,628.1,177.15982055664062,-339.3,-6.04,1570602.7528,5173213.5152
141,632.1,191.4520263671875,354.12,-21.72,1570598.7169000003,5173213.4975
142,636.2,191.03993225097656,-10.0,-11.87,1570596.3098999998,5173210.1551
143,641.2,192.52883911132812,29.78,-17.24,1570597.3965036597,5173205.274598747
144,646.2,189.9224395751953,-52.13,-20.54,1570598.4831073196,5173200.394097493
145,647.6,191.66358947753906,127.36,-4.6,1570598.7802,5173199.0597
146,650.3,188.1554412841797,-127.76,26.01,1570597.1755,5173196.8314
147,653.7,190.753662109375,76.09,-4.92,1570593.9419,5173197.9279
148,657.9,188.1026611328125,-64.36,-40.83,1570591.5056999996,5173201.2491
149,662.9,189.5630340576172,29.21,-43.54,1570589.0933746025,5173205.628676027
150,667.9,185.87985229492188,-73.66,5.44,1570586.6810492056,5173210.008252054
151,672.9,185.7551727294922,-2.49,-10.05,1570584.2687238085,5173214.387828082
152,677.9,186.4475555419922,13.85,-0.94,1570581.8563984116,5173218.767404109
153,682.9,166.1947021484375,-405.06,-6.31,1570579.4440730144,5173223.146980136
154,683.2,166.1947021484375,0.0,-0.46,1570579.3003000002,5173223.408
155,687.8,188.77610778808594,486.71,-5.77,1570576.0569000002,5173226.7256
156,692.0,186.97308349609375,-43.07,-10.1,1570572.0160999997,5173227.8185
157,695.9,185.8931884765625,-27.55,-7.23,1570568.7970000003,5173225.5831
158,700.9,186.74493408203125,17.03,-23.06,1570566.42318375,5173221.182532263
159,701.0,186.74493408203125,0.0,28.11,1570566.3948999997,5173221.1301
160,706.0,185.28453063964844,-29.21,27.32,1570567.7308733363,5173216.311887131
161,710.2,180.17738342285156,-121.34,-9.09,1570568.8554999996,5173212.2559
162,715.2,181.63369750976562,29.13,-27.14,1570571.3629348143,5173207.930073992
163,720.2,173.6197509765625,-160.28,-25.53,1570573.870369629,5173203.6042479845
164,725.2,181.50721740722656,157.75,-12.25,1570576.3778044437,5173199.278421977
165,730.2,181.07296752929688,-8.68,-18.54,1570578.8852392584,5173194.952595969
166,734.5,184.8045654296875,86.21,-14.78,1570581.0559999999,5173191.2076
167,739.5,172.7245635986328,-241.6,-7.05,1570580.47650709,5173186.241294737
168,744.5,172.23526000976562,-9.79,-4.07,1570579.8970141802,5173181.274989474
169,747.9,177.82061767578125,163.09,13.77,1570579.5000999998,5173177.8734
170,752.9,174.35873413085938,-69.24,-0.18,1570574.5001483534,5173177.851410619
171,754.4,174.53553771972656,12.13,-2.23,1570573.0425000004,5173177.845
172,759.4,172.7206268310547,-36.3,-11.85,1570570.4045674354,5173182.092506537
173,764.4,175.81593322753906,61.91,12.57,1570567.7666348703,5173186.340013074
174,769.4,177.61734008789062,36.03,14.22,1570565.1287023055,5173190.587519611
175,771.3,177.70083618164062,4.28,-5.39,1570564.0999999996,5173192.2439
176,776.3,176.13894653320312,-31.24,-3.49,1570560.69735154,5173195.907502525
177,781.3,175.1570281982422,-19.64,-5.69,1570557.29470308,5173199.57110505
178,786.3,176.51026916503906,27.06,-3.75,1570553.8920546204,5173203.234707574
179,791.3,176.9296417236328,8.39,-15.69,1570550.4894061605,5173206.898310099
180,794.0,175.53665161132812,-52.69,-18.97,1570548.6902,5173208.8355
181,799.0,173.12277221679688,-48.28,-5.38,1570547.6792093487,5173213.73222318
182,804.0,172.51806640625,-12.09,-7.55,1570546.6682186972,5173218.62894636
183,809.0,171.7678985595703,-15.0,-31.46,1570545.6572280459,5173223.52566954
184,814.0,168.29722595214844,-69.41,-49.96,1570544.6462373945,5173228.42239272
185,814.4,168.29722595214844,0.0,-50.19,1570544.5664999997,5173228.8086
186,819.4,175.98284912109375,153.71,-52.14,1570544.9705786353,5173233.792245298
187,824.4,173.2272186279297,-55.11,-19.25,1570545.3746572707,5173238.775890596
188,829.4,159.09548950195312,-282.63,12.68,1570545.7787359064,5173243.759535894
189,833.3,152.12860107421875,-176.41,20.32,1570546.0979000004,5173247.6959
190,838.3,152.42189025878906,5.87,19.48,1570547.3329099296,5173252.5409748675
191,843.3,148.71017456054688,-74.23,18.27,1570548.5679198587,5173257.386049735
192,848.3,164.38583374023438,313.51,-17.05,1570549.802929788,5173262.231124603
193,849.4,167.9945526123047,339.22,-43.08,1570550.0657000002,5173263.262
194,854.4,171.44615173339844,69.03,12.58,1570553.411618896,5173266.977484725
195,859.4,167.5133819580078,-78.66,66.13,1570556.7575377917,5173270.692969451
196,864.4,166.84588623046875,-13.35,54.24,1570560.1034566876,5173274.408454175
197,867.4,159.78904724121094,-234.74,64.24,1570562.1152,5173276.6424
198,872.4,142.71258544921875,-341.53,-22.45,1570566.1196909924,5173279.636402654
199,877.4,159.19711303710938,329.69,-44.43,1570570.1241819847,5173282.630405308
200,882.4,179.82550048828125,412.57,-48.02,1570574.1286729772,5173285.624407962
201,887.4,173.5823211669922,-124.86,-101.96,1570578.1331639697,5173288.618410615
202,892.4,175.3702392578125,35.76,-58.62,1570582.1376549623,5173291.6124132695
203,893.5,168.2038116455078,-640.12,-36.79,1570583.0343000004,5173292.2828
204,898.5,173.07940673828125,97.51,-9.15,1570587.772505794,5173293.879485899
205,903.5,174.557373046875,29.56,-36.06,1570592.5107115873,5173295.476171797
206,908.5,140.9556427001953,-672.03,-67.0,1570597.2489173808,5173297.072857697
207,913.5,164.12571716308594,463.4,-57.18,1570601.9871231741,5173298.669543595
208,918.2,164.37435913085938,5.33,-65.32,1570606.4091999996,5173300.1597
209,923.2,162.50196838378906,-37.45,-8.74,1570610.9939300686,5173302.154756439
210,928.2,164.185546875,33.67,-0.71,1570615.5786601375,5173304.149812878
211,933.2,167.7963104248047,72.22,-10.47,1570620.1633902062,5173306.144869317
212,938.2,166.95608520507812,-16.8,50.01,1570624.748120275,5173308.1399257565
213,943.2,164.26589965820312,-53.8,8.47,1570629.332850344,5173310.134982196
214,946.3,163.71372985839844,-17.71,-7.4,1570632.1912000002,5173311.3788
215,951.3,173.0013427734375,185.75,-8.62,1570636.386743767,5173314.098618468
216,956.3,169.11260986328125,-77.77,-11.68,1570640.5822875334,5173316.818436937
217,960.7,168.8187255859375,-6.7,-22.71,1570644.2653,5173319.206
218,965.7,169.14071655273438,6.44,-7.23,1570645.4212894558,5173324.070533727
219,967.5,165.99893188476562,-169.23,-7.16,1570645.8504999997,5173325.8767
220,972.5,163.4546356201172,-50.89,-18.16,1570643.4381677918,5173330.256272276
221,972.6,163.4546356201172,0.0,-25.92,1570643.4094000002,5173330.3085
222,977.6,161.0006103515625,-49.08,-21.64,1570638.4990849628,5173331.251265205
223,978.4,162.16456604003906,153.44,-38.25,1570637.7540999996,5173331.3943
224,983.4,159.51470947265625,-53.0,-24.33,1570633.0331388842,5173329.747325153
225,988.4,152.57894897460938,-138.72,-6.17,1570628.312177769,5173328.100350305
226,993.4,157.59954833984375,100.41,-24.09,1570623.5912166534,5173326.453375459
227,998.4,156.0660858154297,-30.67,-18.21,1570618.870255538,5173324.806400611
228,1002.3,148.67593383789062,-189.41,-40.93,1570615.1863000002,5173323.5212
229,1007.3,156.64939880371094,159.47,-18.2,1570610.625124623,5173321.472864291
230,1012.3,158.18087768554688,30.63,1.31,1570606.063949246,5173319.424528581
231,1017.3,145.77687072753906,-248.08,18.06,1570601.5027738689,5173317.3761928715
232,1022.3,149.01431274414062,64.75,35.57,1570596.9415984917,5173315.327857162
233,1027.3,134.0594482421875,-299.1,25.61,1570592.3804231146,5173313.279521452
