seq,cum_dist,elev,gradient_50m,x,y
321,1419.3,94.75894165039062,-6.8,1570461.9104144734,5173324.895727317
322,1424.3,94.8791275024414,-6.8,1570465.9679526312,5173327.817436422
323,1429.3,95.70672607421875,-5.7,1570470.025490789,5173330.7391455285
324,1431.1,95.88301086425781,-5.7,1570471.4638999999,5173331.7749
325,1436.1,95.41852569580078,-4.4,1570475.6111072248,5173334.567868355
326,1441.1,94.32989501953125,-2.9,1570479.75831445,5173337.36083671
327,1446.1,94.39414978027344,-4.1,1570483.905521675,5173340.153805065
328,1451.1,93.88909149169922,-3.7,1570488.0527289002,5173342.94677342
329,1456.1,94.04576110839844,-6.1,1570492.1999361252,5173345.739741774
330,1461.1,93.65447235107422,-7.1,1570496.3471433504,5173348.532710129
331,1463.1,93.61354064941406,-10.0,1570498.0236999998,5173349.6618
332,1468.1,92.94145202636719,-11.3,1570502.6972302087,5173351.438908715
333,1473.1,92.53120422363281,-13.1,1570507.3707604178,5173353.216017431
334,1478.1,92.88992309570312,-14.9,1570512.0442906267,5173354.993126146
335,1482.1,92.79327392578125,-18.0,1570515.7531000003,5173356.4034
336,1487.1,91.78929138183594,-15.5,1570516.2475909945,5173361.378887781
337,1489.9,90.0396957397461,-16.0,1570516.5261000004,5173364.1812
338,1494.0,88.36840057373047,-15.2,1570514.0899,5173367.5023
339,1499.0,87.48599243164062,-14.5,1570509.089948287,5173367.480325756
340,1504.0,86.0187759399414,-15.7,1570504.089996574,5173367.4583515115
341,1509.0,84.51393127441406,-15.3,1570499.090044861,5173367.436377266
342,1510.9,83.97969818115234,-15.3,1570497.1383999996,5173367.4278
343,1515.9,85.1402587890625,-9.7,1570492.3974856168,5173365.839174551
344,1520.9,84.89005279541016,-6.1,1570487.656571234,5173364.250549102
345,1525.9,84.88414764404297,-5.7,1570482.9156568514,5173362.661923654
346,1530.9,84.58284759521484,-3.9,1570478.1747424689,5173361.073298206
347,1532.2,84.27466583251953,-3.9,1570476.9873000002,5173360.6754
348,1537.2,84.3486557006836,0.2,1570472.5478575742,5173358.375106335
349,1542.2,84.94471740722656,-3.1,1570468.1084151485,5173356.074812669
350,1547.2,85.1323471069336,-0.7,1570463.6689727225,5173353.774519004
351,1552.2,84.42821502685547,0.6,1570459.2295302965,5173351.474225339
352,1557.2,83.95327758789062,2.0,1570454.7900878708,5173349.173931673
353,1562.2,84.09485626220703,-0.6,1570450.3506454448,5173346.873638008
354,1567.2,83.5630111694336,-2.1,1570445.9112030189,5173344.573344342
355,1572.2,84.54054260253906,-1.9,1570441.4717605931,5173342.273050677
356,1577.2,85.17840576171875,-3.6,1570437.0323181672,5173339.972757012
357,1582.2,85.2804183959961,-1.7,1570432.5928757412,5173337.672463346
358,1587.2,84.05797576904297,0.8,1570428.1534333155,5173335.37216968
359,1592.2,83.90348815917969,2.7,1570423.7139908895,5173333.071876015
360,1597.2,84.20256805419922,0.2,1570419.2745484635,5173330.771582349
361,1602.2,82.65040588378906,-2.9,1570414.8351060376,5173328.471288684
362,1607.2,83.09329986572266,-7.8,1570410.3956636118,5173326.170995018
363,1612.2,84.50700378417969,-8.0,1570405.9562211859,5173323.870701353
364,1617.2,84.88824462890625,-10.0,1570401.51677876,5173321.570407688
365,1622.2,84.6314926147461,-10.1,1570397.0773363342,5173319.270114022
366,1624.7,84.22322845458984,-9.5,1570394.8377999999,5173318.1097
367,1628.1,83.6826400756836,-9.3,1570391.6041,5173319.2061
368,1633.1,81.29113006591797,-13.4,1570389.4039458968,5173323.696013354
369,1635.5,81.28968811035156,-13.4,1570388.3458000002,5173325.8554
370,1640.5,79.7822036743164,-14.8,1570389.5016514028,5173330.719966531
371,1642.4,78.87104797363281,-15.3,1570389.9308000002,5173332.5261
372,1647.4,79.15200805664062,-14.4,1570394.604288519,5173334.3033183515
373,1651.9,79.02291107177734,-14.3,1570398.7954000002,5173335.8971
374,1656.9,77.54393005371094,-14.6,1570402.9554860669,5173338.670849073
375,1661.9,75.74637603759766,-9.3,1570407.1155721336,5173341.444598145
376,1666.9,76.40282440185547,-6.2,1570411.2756582,5173344.218347218
377,1671.9,76.53067016601562,-5.8,1570415.4357442667,5173346.99209629
378,1676.9,76.76007843017578,-7.0,1570419.5958303334,5173349.765845363
379,1681.9,75.85421752929688,-2.3,1570423.7559164,5173352.539594436
380,1686.9,76.53411102294922,-0.3,1570427.9160024668,5173355.313343508
381,1691.9,76.58876037597656,-2.9,1570432.0760885333,5173358.087092581
382,1696.9,75.70645141601562,-2.3,1570436.2361746,5173360.860841653
383,1701.9,75.54207611083984,-3.9,1570440.3962606667,5173363.634590726
384,1706.9,76.40310668945312,-3.8,1570444.5563467334,5173366.408339799
385,1711.9,75.6011734008789,-6.0,1570448.7164328,5173369.1820888715
