seq,cum_dist,elev,gradient_50m,x,y
386,1716.9,74.9554214477539,-6.6,1570452.8765188667,5173371.9558379445
387,1721.9,75.3848876953125,-5.9,1570457.0366049332,5173374.729587017
388,1726.9,74.79546356201172,-9.7,1570461.196691,5173377.50333609
389,1731.9,73.94105529785156,-15.7,1570465.3567770666,5173380.277085162
390,1736.9,73.51580047607422,-16.4,1570469.5168631333,5173383.050834235
391,1741.9,73.28289031982422,-16.5,1570473.6769492,5173385.824583308
392,1746.9,72.76385498046875,-17.1,1570477.8370352664,5173388.59833238
393,1748.6,72.86359405517578,-16.2,1570479.2818999998,5173389.5617
394,1753.6,70.51445770263672,-16.3,1570479.8613561653,5173394.528009551
395,1755.3,69.97843170166016,-16.3,1570480.0598,5173396.2288
396,1760.3,68.00994873046875,-12.6,1570476.3602063505,5173399.5922813555
397,1761.9,67.4175796508789,-13.0,1570475.1968999999,5173400.6499
398,1766.9,66.68157958984375,-16.0,1570470.4004830578,5173399.237673205
399,1771.9,66.81730651855469,-14.1,1570465.6040661158,5173397.825446411
400,1776.9,66.49536895751953,-11.3,1570460.8076491738,5173396.413219617
401,1781.9,65.84300231933594,-5.8,1570456.0112322317,5173395.000992823
402,1786.9,66.99616241455078,-3.8,1570451.2148152897,5173393.588766029
403,1791.9,65.26410675048828,-3.9,1570446.4183983477,5173392.176539235
404,1796.9,65.71759796142578,-5.1,1570441.6219814057,5173390.7643124405
405,1801.9,66.83341217041016,-2.9,1570436.8255644636,5173389.352085646
406,1806.9,66.97846221923828,-1.5,1570432.0291475216,5173387.939858852
407,1811.9,65.50904846191406,-6.9,1570427.2327305796,5173386.527632059
408,1816.9,64.73554992675781,-3.2,1570422.4363136375,5173385.115405264
409,1821.9,64.25153350830078,-6.7,1570417.6398966953,5173383.70317847
410,1826.9,65.06828308105469,-9.5,1570412.8434797532,5173382.290951676
411,1831.9,65.09757995605469,-8.4,1570408.0470628112,5173380.878724881
412,1836.9,63.5693244934082,-5.0,1570403.2506458692,5173379.466498087
413,1841.7,62.83784484863281,-5.0,1570398.6091999998,5173378.0999
414,1846.7,63.49909973144531,-2.5,1570394.159444125,5173375.819620926
415,1851.7,62.07088851928711,-1.1,1570389.70968825,5173373.539341852
416,1856.7,61.62433624267578,-2.5,1570385.2599323753,5173371.259062779
417,1861.7,62.35628128051758,-4.5,1570380.8101765004,5173368.978783705
418,1866.7,62.77509689331055,-5.3,1570376.3604206254,5173366.698504631
419,1871.7,63.36243438720703,-3.6,1570371.9106647505,5173364.418225558
420,1876.1,63.59829330444336,-3.6,1570368.0037000002,5173362.4161
421,1881.1,63.581565856933594,-1.1,1570364.2440591853,5173359.119874744
422,1886.1,63.577266693115234,-2.2,1570360.4844183703,5173355.8236494865
423,1891.1,62.440406799316406,-5.0,1570356.7247775553,5173352.52742423
424,1896.1,59.930259704589844,-6.8,1570352.9651367404,5173349.231198973
425,1896.4,59.930259704589844,-6.8,1570352.7254999997,5173349.0211
426,1901.4,61.550601959228516,-11.0,1570350.7042009966,5173344.447878997
427,1906.4,61.46061325073242,-12.5,1570348.6829019936,5173339.874657994
428,1911.4,60.41018295288086,-14.2,1570346.6616029905,5173335.301436991
429,1912.3,60.202247619628906,-14.2,1570346.3316000002,5173334.5548
430,1917.3,59.55632400512695,-12.5,1570345.7522720327,5173329.588475494
431,1922.3,58.96693420410156,-8.1,1570345.1729440654,5173324.622150986
432,1927.3,57.97136306762695,-10.9,1570344.593616098,5173319.65582648
433,1932.3,57.15917205810547,-11.4,1570344.0142881304,5173314.689501973
434,1932.4,56.69287872314453,-11.4,1570343.9984,5173314.5533
435,1937.4,56.30584716796875,-9.5,1570343.9556182895,5173309.553483031
436,1942.4,56.04057312011719,-9.2,1570343.9128365794,5173304.553666062
437,1947.4,55.792945861816406,-8.7,1570343.870054869,5173299.553849093
438,1952.4,55.98621368408203,-7.6,1570343.8272731586,5173294.554032123
439,1957.4,55.65721130371094,-6.0,1570343.7844914484,5173289.554215154
440,1962.4,55.4278450012207,-5.6,1570343.741709738,5173284.554398185
441,1967.4,54.96363830566406,-5.3,1570343.6989280279,5173279.554581216
442,1972.4,54.602684020996094,-4.7,1570343.6561463175,5173274.554764247
443,1977.4,54.166908264160156,-4.9,1570343.613364607,5173269.5549472775
444,1982.4,53.70015335083008,-4.1,1570343.570582897,5173264.5551303085
445,1987.4,53.525638580322266,-5.4,1570343.5278011865,5173259.5553133385
446,1992.4,53.36777877807617,-5.5,1570343.4850194762,5173254.5554963695
447,1994.6,53.15719223022461,-5.5,1570343.4661999997,5173252.3561
448,1999.6,53.33073806762695,-6.0,1570344.5247032316,5173247.469427215
449,2004.6,53.44179916381836,-4.9,1570345.5832064634,5173242.58275443
450,2009.6,53.50992202758789,-2.3,1570346.6417096953,5173237.696081645
451,2014.6,52.606117248535156,-4.0,1570347.700212927,5173232.80940886
452,2019.6,52.066585540771484,-4.3,1570348.758716159,5173227.922736075
453,2021.8,52.0506706237793,-4.3,1570349.2344000004,5173225.7267
454,2026.8,51.33198928833008,-7.3,1570349.8339023555,5173220.762770415
455,2031.8,51.508949279785156,-12.4,1570350.4334047104,5173215.79884083
456,2036.8,52.44449996948242,-16.1,1570351.0329070655,5173210.834911245
457,2041.8,51.35776901245117,-13.0,1570351.6324094206,5173205.87098166
458,2046.8,50.922977447509766,-14.0,1570352.2319117757,5173200.907052075
459,2049.8,50.88536071777344,-14.0,1570352.5859000003,5173197.976
460,2054.8,49.27942657470703,-15.2,1570349.6642075258,5173193.918449867
461,2056.7,48.55524826049805,-13.2,1570348.5745,5173192.4051
462,2061.7,46.34552764892578,-14.1,1570344.2973432527,5173194.994681078
463,2065.2,44.5433464050293,-17.1,1570341.2900999999,5173196.8154
464,2070.2,45.40380096435547,-16.6,1570339.1205010414,5173201.320157525
465,2075.2,44.57869338989258,-15.7,1570336.9509020832,5173205.82491505
466,2080.2,43.20527267456055,-16.3,1570334.7813031247,5173210.329672575
467,2085.2,43.642181396484375,-15.2,1570332.6117041665,5173214.8344301
468,2090.2,43.295413970947266,-11.9,1570330.442105208,5173219.339187625
469,2095.2,42.475616455078125,-14.0,1570328.2725062498,5173223.84394515
470,2100.2,42.98220443725586,-13.7,1570326.1029072914,5173228.348702676
471,2100.8,42.190853118896484,-13.7,1570325.8109,5173228.955
472,2105.8,40.981441497802734,-11.9,1570321.679026851,5173231.770603715
473,2110.8,40.340694427490234,-15.0,1570317.5471537022,5173234.586207431
474,2115.8,38.50537109375,-16.4,1570313.4152805533,5173237.401811146
475,2118.5,38.65151596069336,-16.4,1570311.2370999996,5173238.8861
